"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","negLogP","sig"
3.12900977368165e-10,0.264892737285872,0.484,0.204,7.41137254994235e-06,"APBB2",5.13010135535858,"Significant"
3.12905822198604e-10,0.84123807982589,0.171,0.025,7.41148730459614e-06,"GDPD2",5.13009463097294,"Significant"
3.16922141254866e-10,0.269232777852644,0.462,0.188,7.50661783776275e-06,"NCCRP1",5.12455569352159,"Significant"
3.23620804930075e-10,0.817752391436309,0.392,0.157,7.66528238557377e-06,"TRMT5",5.11547184130048,"Significant"
3.3054233155665e-10,0.647958086021461,0.317,0.108,7.82922566525081e-06,"HSD3BP4",5.10628118889202,"Significant"
3.31314141221816e-10,-0.426176561000462,0.725,0.796,7.84750674897993e-06,"TSC22D3",5.10526830212764,"Significant"
3.34051768222088e-10,0.545475171726822,0.322,0.105,7.91235018210838e-06,"OR4F13P",5.10169450012778,"Significant"
3.36477762564745e-10,0.270805660747596,0.343,0.117,7.96981228410854e-06,"GJD4",5.09855190757953,"Significant"
3.39213400687647e-10,0.295503524393896,0.638,0.312,8.03460860868761e-06,"SMAD9",5.0950352742494,"Significant"
3.41707520853294e-10,0.362321761076386,0.732,0.377,8.09368433893113e-06,"FAM92A1P2",5.09185373749494,"Significant"
3.42636190343608e-10,0.333556268751975,0.725,0.364,8.11568080447871e-06,"CDKN2B-AS1",5.09067504241489,"Significant"
3.48349878022614e-10,1.15473928694194,0.265,0.077,8.25101521084365e-06,"FAM200A",5.08349261225712,"Significant"
3.54075610207495e-10,0.289269096380334,0.716,0.349,8.38663490337472e-06,"TAF1A",5.07641226277734,"Significant"
3.61677986843062e-10,0.326045657080065,0.643,0.318,8.56670479636477e-06,"TMEM170B",5.06718619837506,"Significant"
3.62000083145418e-10,0.442780520603384,0.709,0.373,8.57433396938236e-06,"CDC5L",5.06679960477276,"Significant"
3.65212868858403e-10,0.303945229742238,0.585,0.269,8.65043201178012e-06,"HYAL4",5.06296220286499,"Significant"
3.78585958027513e-10,0.557721652040232,0.653,0.343,8.96718700183968e-06,"PIGM",5.04734377336359,"Significant"
3.79059975134566e-10,0.39809292631693,0.624,0.299,8.97841457103734e-06,"BDH1",5.04680034527463,"Significant"
3.7991467759576e-10,1.17845895984672,0.214,0.046,8.99865905353317e-06,"TCL6",5.04582220267622,"Significant"
3.88727230585917e-10,0.63648539036501,0.286,0.086,9.20739318365803e-06,"CCNYL1",5.0358633107589,"Significant"
3.94337241808364e-10,0.366870460633779,0.399,0.151,9.34027190947291e-06,"LOC100129917",5.02964048061522,"Significant"
3.95434153854691e-10,0.711659864310082,0.289,0.09,9.36625336820221e-06,"FCRL1",5.028434098217,"Significant"
4.09005481225325e-10,0.565592324327148,0.312,0.099,9.68770382830306e-06,"PRDM7",5.01377914687779,"Significant"
4.20874679112041e-10,0.488258033978569,0.451,0.188,9.96883764944781e-06,"UGT2B15",5.00135547677955,"Significant"
4.3169073220049e-10,0.267368675227706,0.57,0.256,1.02250266829008e-05,"MGC16142",4.99033554999823,"Significant"
4.32988318305547e-10,0.713505948932275,0.401,0.164,1.02557613073852e-05,"DAK",4.98903209547851,"Significant"
4.33449889666209e-10,0.321667729504022,0.859,0.556,1.02666940866338e-05,"AP4E1",4.98856937831748,"Significant"
4.40769266030107e-10,0.73112876451242,0.289,0.09,1.04400608351891e-05,"ADAMTS2",4.98129697065273,"Significant"
4.44865178391528e-10,-0.5676078117638,0.582,0.701,1.05370766153817e-05,"S100A6",4.97727986217004,"Significant"
4.47334376990681e-10,0.721466924981767,0.359,0.133,1.05955620534013e-05,"GCAT",4.97487600070718,"Significant"
4.51500229301294e-10,0.409197337744125,0.789,0.448,1.06942344312305e-05,"THAP6",4.97085029984351,"Significant"
4.60235669150143e-10,0.37730543695592,0.704,0.367,1.09011420594903e-05,"ZDHHC8P1",4.96252800076098,"Significant"
4.62541649760664e-10,0.409669143059166,0.589,0.29,1.09557615162311e-05,"PPIL2",4.960357429988,"Significant"
4.73988727555585e-10,0.415125888887943,0.746,0.407,1.12268970008816e-05,"SLC15A2",4.94974026169142,"Significant"
4.90660742362879e-10,0.288224431082402,0.608,0.278,1.16217903436071e-05,"CENPH",4.93472696347269,"Significant"
4.92595227158381e-10,0.531525642493698,0.697,0.38,1.16676105504734e-05,"FBXO48",4.93301807548818,"Significant"
5.03380308809385e-10,0.484972253867472,0.805,0.525,1.19230659944591e-05,"BBS5",4.92361205220834,"Significant"
5.06670452995068e-10,0.606927342651936,0.505,0.228,1.20009963496412e-05,"ZNF595",4.92078269635334,"Significant"
5.0724219252176e-10,0.715559973440045,0.258,0.071,1.20145385720704e-05,"FGF2",4.92029290396551,"Significant"
5.21520720860703e-10,0.276989481985214,0.681,0.343,1.23527397943066e-05,"ALG10B",4.90823670672951,"Significant"
5.25443936633866e-10,0.334097538131656,0.761,0.429,1.24456650831097e-05,"ZNF543",4.90498189019989,"Significant"
5.4942526989476e-10,0.621475423356914,0.631,0.309,1.30136869427273e-05,"B3GALNT2",4.88559964486522,"Significant"
5.50528021085926e-10,0.356823588062044,0.671,0.34,1.30398067074412e-05,"SELRC1",4.88472884622019,"Significant"
5.52455220614744e-10,0.534964181085214,0.695,0.377,1.30854543554808e-05,"BMS1P4",4.88321119311181,"Significant"
5.55435112108449e-10,0.606109057604085,0.533,0.253,1.31560360654007e-05,"POLI",4.88087494463123,"Significant"
5.69989524031623e-10,0.460357063005352,0.838,0.509,1.3500771866213e-05,"PARK2",4.86964140130837,"Significant"
5.79766106883117e-10,0.336497386689802,0.655,0.333,1.37323400076335e-05,"LRAT",4.86225545214325,"Significant"
6.00722904411115e-10,0.391724875515321,0.472,0.207,1.42287227138817e-05,"LPAR6",4.84683408397828,"Significant"
6.03429074800165e-10,0.317408552573915,0.786,0.414,1.42928210657167e-05,"FAM83B",4.84488204326251,"Significant"
6.17111682755912e-10,1.32711543039494,0.192,0.037,1.46169073177565e-05,"KCNK2",4.83514450678408,"Significant"
6.20522718487117e-10,0.787498828487899,0.254,0.068,1.46977011100858e-05,"PATE2",4.83275058860423,"Significant"
6.2302361986356e-10,0.3013973081205,0.333,0.117,1.47569374600883e-05,"KLF17",4.83100376325744,"Significant"
6.41985335577228e-10,0.327756400766677,0.549,0.241,1.52060646584822e-05,"MILR1",4.81798316715965,"Significant"
6.42505064210422e-10,0.393810772227916,0.765,0.426,1.52183749508881e-05,"FAM106A",4.81763171994005,"Significant"
6.48869459442396e-10,0.314133046597086,0.512,0.216,1.53691220163526e-05,"LOC100131496",4.81335094150119,"Significant"
6.52116438373803e-10,0.42811280421798,0.723,0.395,1.54460299593219e-05,"FLT1",4.81118312713357,"Significant"
