"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","negLogP","sig"
0.250521313691625,-0.119887555462992,0.401,0.324,1,"SUPT16H",0,"NS"
0.250535350037861,-0.0368854512011903,0.479,0.401,1,"KANSL1",0,"NS"
0.250599035292381,-0.114386528693799,0.585,0.519,1,"SIT1",0,"NS"
0.250622469303544,-0.201860808889907,0.101,0.074,1,"AMZ2P1",0,"NS"
0.251337305549861,0.0739557897088314,0.239,0.198,1,"SAMHD1",0,"NS"
0.251610289485219,-0.58398490726433,0.143,0.167,1,"DDIT3",0,"NS"
0.251699193186437,-0.0993716070234594,0.387,0.309,1,"CEP57",0,"NS"
0.25180765680586,0.0121049121370955,0.122,0.093,1,"CD226",0,"NS"
0.252198507868165,0.0445250810635567,0.467,0.395,1,"NEMF",0,"NS"
0.252289678392629,-0.204088684122997,0.425,0.432,1,"ATP5D",0,"NS"
0.252357038603021,0.00740476402871271,0.176,0.139,1,"TMEM170A",0,"NS"
0.252687522517132,-0.259480113878671,0.404,0.407,1,"SCAMP2",0,"NS"
0.253003632583418,-0.0967835092712635,0.291,0.235,1,"ATAD1",0,"NS"
0.253075412411462,0.0248005915449938,0.371,0.315,1,"TNPO1",0,"NS"
0.253115418111616,-0.0038899498199978,0.57,0.463,1,"PRKACB",0,"NS"
0.253155806196375,0.154193692864783,0.129,0.099,1,"C17orf59",0,"NS"
0.253161241009373,0.0737709364961922,0.197,0.157,1,"DPM1",0,"NS"
0.253176553618584,-0.301624085081168,0.369,0.392,1,"ERP44",0,"NS"
0.253201261448882,-0.364590818985989,0.15,0.114,1,"KIAA0232",0,"NS"
0.2537416241798,-0.38765212006011,0.286,0.306,1,"DNAJC7",0,"NS"
0.253875504317407,-0.19205241615159,0.202,0.157,1,"SUPT3H",0,"NS"
0.25391901490491,-0.041765789718299,0.129,0.099,1,"MAP3K5",0,"NS"
0.254271342197551,-0.223651160046139,0.378,0.392,1,"ARL6IP4",0,"NS"
0.254559228917887,0.0345840434122923,0.955,0.858,1,"NF2",0,"NS"
0.254627138419835,-0.053231081357836,0.357,0.296,1,"PDE3B",0,"NS"
0.254682197483396,-0.42373565538529,0.272,0.284,1,"PHPT1",0,"NS"
0.254757798181216,-0.284036246155561,0.465,0.457,1,"CDKN1B",0,"NS"
0.254907803970005,0.165393893092149,0.169,0.136,1,"LRRC41",0,"NS"
0.254916900951719,-0.163402143099653,0.559,0.546,1,"COMMD6",0,"NS"
0.254964363244678,-0.551662280295437,0.138,0.105,1,"DOT1L",0,"NS"
0.255019777028366,-0.448157729686937,0.087,0.111,1,"CLECL1",0,"NS"
0.255255058550227,0.0245512193511146,0.214,0.17,1,"SCNM1",0,"NS"
0.255720588749755,0.0256177288274457,0.16,0.127,1,"GNL2",0,"NS"
0.255762428690059,-0.115287404237438,0.308,0.25,1,"DCUN1D1",0,"NS"
0.255912280516086,-0.589854054684441,0.16,0.182,1,"PGD",0,"NS"
0.256132480132313,-0.0287346614664983,0.176,0.139,1,"HAUS6",0,"NS"
