"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CRAT",-1.23294614654438,7.12036936803894,-5.76171022731174,7.15714729379055e-08,4.09307208612873e-06,7.80422797621335
"EPCAM",-1.26078594925377,4.97536529677191,-5.7563346529141,7.3359302824754e-08,4.17699541280335e-06,7.78060327282881
"BBOX1",-2.72845345779691,5.37490806196826,-5.74610162683781,7.68845543885523e-08,4.35868567248841e-06,7.73566384856955
"HAL",-1.99203279261466,5.80735608726618,-5.72088184195803,8.62975988286824e-08,4.87114455033416e-06,7.62509356369462
"KLF4",-2.29283453410975,7.27942661179488,-5.71847193813391,8.7254126299547e-08,4.90390755525773e-06,7.61454173802069
"SYBU",-1.13951789855201,6.15028513338978,-5.71185056313869,8.99361065761442e-08,5.01147060782863e-06,7.58556234912601
"LY6G6C",-2.23156327526206,8.0242376876263,-5.71184921458132,8.99366609580412e-08,5.01147060782863e-06,7.58555644883732
"CA12",-2.56307493102507,6.92045415903454,-5.68575969236885,1.01313688524342e-07,5.62140078582506e-06,7.47155058445741
"SDC4",-1.47861170789851,8.56824471651743,-5.68251783490301,1.02822427853868e-07,5.68093913892623e-06,7.4574043077119
"LAMB4",-1.02969341336592,5.3093892151691,-5.67491864203278,1.06445909839936e-07,5.85632159663681e-06,7.42426158998062
"LHFPL2",1.23007748175926,9.03099307581014,5.66844203508503,1.09632698715621e-07,5.98117472197902e-06,7.39603411685696
"CD101",1.31504817669962,6.33737262424029,5.66726037660426,1.10224134379423e-07,5.98838536738871e-06,7.39088592227919
"UGT1A3",-1.21656992999457,5.41371287360508,-5.65220659584677,1.18038073912133e-07,6.33373845983662e-06,7.32535214114706
"NMU",-2.18970334260303,6.04023179135618,-5.64497592600248,1.21981840365314e-07,6.50462112931646e-06,7.2939090419839
"PCP4",-1.43069755728115,5.11246123235065,-5.64454586867445,1.22220429226362e-07,6.50462112931646e-06,7.2920396080222
"GJB1",2.41241016024177,7.85619591358423,5.64343687399402,1.22837794032791e-07,6.51090242436406e-06,7.28721923721262
