"","MEblue","MEtan","MEmagenta","MEpurple","MElightcyan","MEgreen","MEgreenyellow","MEbrown","MEcyan","MEmidnightblue","MEyellow","MEblack","MEred","MEsalmon","MEpink","MEturquoise","MEgrey"
"Melanoma.17",0.025882065686991,0.00379564067065753,0.0307165714364645,0.11132274646324,-0.0775612445539637,0.0155384028349895,-0.0723112551437796,0.00333562580283637,-0.165803963539478,-0.16860931166401,-0.0111470768809957,-0.0739401863116726,-0.12154469082139,-0.0232045201410437,-0.0414189990189342,0.138113021637773,0.096204877390102
"Melanoma.18",0.0208090249419234,-0.00922712444051518,0.0559696605982096,0.0306750164628316,0.139307102502687,-0.0198919074146051,-0.0321544213551712,-0.0484868141613581,-0.0368531957426287,-0.00100816429847692,0.0617840857653119,0.0326381459695977,0.0262689135447431,-0.0131808594278363,-0.0139063202992161,-0.067324279875354,-0.08156997152824
"Melanoma.19",0.034688414966572,0.0506314401441441,0.0358269982266764,-0.0722549907479428,-0.054296359300679,-0.0449107700594534,-0.0591891217544972,0.0250550191865754,-0.0285355837499849,0.0893810264391703,0.0220679208638667,-0.0489144168608545,-0.00231260812305051,-0.0457763573330611,0.0315510772317524,0.0207869375377865,-0.0227842697985293
"Melanoma.20",0.0469298801958832,0.0360827840475223,0.0563496079902698,-0.0355926164733973,-0.0796949539286479,-0.0652639004715963,-0.0712691237562766,-0.042727569275231,-0.0380652941333523,0.103794903874782,0.0689277296692368,-0.00776486078869198,0.0212376026187413,-0.0602779344235228,-0.00968252201351657,-0.00911974283238805,-0.033384459677177
"Melanoma.21",0.0473306539680241,0.0561379648103213,0.0598789851677416,-0.0909633051113885,-0.0156732571732334,-0.0675063997768647,-0.0739248805166838,-0.0473946810673592,-0.064806193280327,0.117722422496513,0.027851046646697,-0.0386817430779207,0.0242158497651494,-0.0111252930738374,-0.0101620220674352,-0.0269140123160517,-0.0579844877121769
"Melanoma.22",0.0267724318062267,-0.00615767802541198,0.0257893683051526,0.055889715343405,-0.00844063044969468,-0.0587509088488778,-0.0196471295372545,-0.0549323578762788,0.00259111008678201,-0.00567203414788134,0.00784035452194731,0.0592247290427937,0.00333423888342633,-0.0558584717989508,-0.0795123259889661,-0.098899334847379,-0.0331924817331449
"Melanoma.23",0.00351712307103255,-0.0455595026028917,0.0335593686379897,0.093410311651467,0.0085340776526006,-0.078362050232663,-0.0439417034369799,-0.0675736899068688,0.0125869151506522,0.0503053105792409,0.114464295852652,0.11233341990742,0.0497834110682012,-0.0987560634577772,-0.0883774051682854,-0.11707038760951,-0.049807509188135
"Melanoma.24",0.0467283293266448,0.0182642904171829,0.0443073510117755,0.0482124684129184,-0.0691034634263845,-0.016742485801421,-0.0227313173969094,-0.0335494825445646,0.0121664986849283,-0.0250096966926066,-0.0148068892226928,-0.00592980141466523,-0.0341903765983878,-0.0328152930914314,-0.048526804127794,-0.0396185981255715,-0.0236199521614067
"Melanoma.25",0.0230966857637347,-0.00303088030030667,0.0105463850036498,0.045977443441211,-0.0722117269802284,-0.00140764664977116,0.0107314946880219,-0.03243855753992,0.0145085876398236,0.0104187875635227,-0.0044819845624904,0.0289749561216048,-0.00582898549607352,-0.0787072016280568,-0.0404551345586556,-0.0184200383328469,0.0118540114023806
"Melanoma.26",0.0424085856458957,0.0132417662045225,0.0422477808718843,0.0417051599073002,-0.0101699518551308,-0.0356434023912105,-0.0305211384866152,-0.0532401381699205,-0.0124032950391911,0.0188588914343759,0.0360452094384197,0.0206012131971183,-0.00267839036080406,-0.0240286314082249,-0.0366036414000866,-0.0766093539473205,-0.0579926149175521
"Melanoma.27",0.0577785597310326,0.0278613973113569,0.0572713760573232,0.0323864669869809,-0.0418024524992679,-0.0293192021180838,-0.0465137279349055,-0.0441878081236875,-0.0227154431002703,0.0251080300223409,0.0336873575403339,-0.00956399924593813,-0.01401717294108,-0.017137264115024,-0.0118340180294509,-0.0259523808601952,-0.0377146681858781
"Melanoma.28",-0.00781409641052015,-0.0279534045309732,0.0365264907189713,0.0628346817287639,0.0870043428301882,-0.0058939815486855,0.00376214897302945,-0.033918958723236,0.0229311054411335,-0.00527729321434403,0.0410991565027153,0.0396555434448436,0.0216158279126014,-0.0271216400839634,-0.0152158323856034,-0.0156771878722723,-0.0449427113595007
"Melanoma.29",-0.00771105379957346,-0.0772088920805134,-0.0134837312359051,0.0808376581970053,-0.0471182836147724,-0.0329309414039945,-0.0674796308557105,-0.0384152949582122,-0.1487914619915,0.0307337738585141,0.0400049892330816,0.0540000889629263,0.018028722882281,0.0736162485885621,-0.0172346294668506,0.0173848478342881,0.123273733709272
