"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CTNND2",0.85480066213002,7.4230279175484,2.97916308826749,0.00435457772929866,0.0101012878513299,-3.07695939258265
"ZZZ3",-0.441747605903105,9.30129820452542,-2.97906585857427,0.00435575872027437,0.0101022301589572,-3.07721066717074
"LRRC42",-0.9227844952818,7.83057464319956,-2.97803435207336,0.00436830621222682,0.0101295295573938,-3.07987607144829
"PECR",0.793762606311791,6.21896111154651,2.97610371040356,0.00439188159004441,0.0101823281557333,-3.08486306834479
"TRAM1",0.334703263896053,10.6981528115836,2.97602778258257,0.00439281117612313,0.0101823281557333,-3.08505914874166
"FUT9",-0.840687298108097,5.13503063812459,-2.97597822013915,0.00439341806918902,0.0101823281557333,-3.08518713974154
"DDN",-0.760565295621728,5.37039172432523,-2.97509418411068,0.00440425624398617,0.0102056330487535,-3.08746983632864
"PSME2",-0.600325211156955,11.218371657586,-2.97452035500255,0.00441130465075018,0.0102201494920276,-3.0889512796589
"HLA-DQB1",-1.69675527984909,8.08495320443856,-2.97437789349395,0.00441305614949743,0.0102223910345171,-3.08931903820597
"AQP2",-0.628791371710236,8.30014234600369,-2.97380448699838,0.00442011247494767,0.0102369176839863,-3.09079913672888
"PYCR1",0.476507325383437,9.73283148336287,2.97372326389733,0.00442111285409913,0.0102374161791153,-3.09100877643512
"CLIC5",-0.582610881225211,7.50121939303378,-2.97360642195052,0.00442255230057996,0.0102389310098122,-3.09131034249351
"MCTP1",-1.49449061959682,6.36946624497719,-2.97240269686032,0.00443740716500925,0.0102714986729195,-3.09441663459182
"IL36A",-1.08932057986061,6.78518425870028,-2.97127919778437,0.00445131391948917,0.0103018605247106,-3.09731508969097
"GRIK1",0.885112200003746,6.60139595471547,2.97085289521964,0.00445660134443118,0.0103122670683297,-3.09841468049592
"PLA2G2F",-0.720651156093874,7.32432659873841,-2.97072593169612,0.00445817720194642,0.0103140831327501,-3.09874214429897
"BBS10",-0.805561371260033,7.12602985845538,-2.96936298354978,0.00447512670156188,0.0103514594751934,-3.10225682626793
"DENND1C",-0.846407386893818,7.66028300126911,-2.96925389213341,0.0044764859444595,0.0103527669793912,-3.10253809441355
"TXN2",0.354703209151243,10.1702146837899,2.96906353946091,0.00447885859688138,0.0103564173159667,-3.10302885913394
"ZW10",0.353058593752605,9.29377658420256,2.96843263328566,0.00448673091194103,0.0103714037756457,-3.10465529261811
"RPLP0",-0.38665197195759,15.1134428487612,-2.96837464755474,0.00448745509224099,0.0103714037756457,-3.10480476354666
"RPS17",-0.387329449708037,15.0658705283265,-2.96835295314184,0.00448772606044888,0.0103714037756457,-3.10486068511486
"INPP5A",-0.461755014605085,9.77854341555202,-2.96806010045208,0.0044913853500196,0.010378021190662,-3.10561554135188
"BEX4",-1.45373575426171,7.17990672269204,-2.96721214182442,0.00450199655248357,0.0103995809732052,-3.10780093746498
"SUB1",-0.506740304144634,10.4448719707301,-2.9671870332571,0.00450231111233558,0.0103995809732052,-3.10786564157497
