"Gene","Module","GS","GS.Pvalue","MM","MM.Pvalue"
"IL22RA1","brown",-0.530952368154918,1.27969811317465e-17,0.839111786586648,2.31602699080556e-60
"SERPINB7","brown",-0.473957654562217,6.87720696340434e-14,0.836849427102363,9.4829740614764e-60
"SEMA3F","brown",-0.614399933139266,1.5524805600513e-24,0.836186568662446,1.4273920796069e-59
"SLC24A3","brown",-0.548800060752675,6.13332011827985e-19,0.83571523059924,1.90698022007979e-59
"MAST4","brown",-0.552876754920304,2.98644945846015e-19,0.835542225994908,2.12042126359617e-59
"PTK6","brown",-0.50868405575967,4.44508283150541e-16,0.835464133251736,2.22434882212642e-59
"CSTA","brown",-0.368311914334291,1.43022464556592e-08,0.834409757882516,4.23363536443095e-59
"FCGBP","brown",-0.532039261101947,1.0689859465363e-17,0.833442491018925,7.61038670133881e-59
"KLK8","brown",-0.37688205383678,6.16719510364266e-09,0.832275313926899,1.53662768974082e-58
"PSORS1C2","brown",-0.561751740952032,6.02267273201928e-20,0.832234056563388,1.57511569050894e-58
"DSP","brown",-0.446669726157498,2.46814562228692e-12,0.832172321877208,1.63449382124641e-58
"TACC2","brown",-0.670444240646683,1.79727556638544e-30,0.831435293387313,2.53946917273695e-58
"SLPI","brown",-0.380177012908939,4.4339100327043e-09,0.830421652059515,4.63887173231154e-58
"KLF5","brown",-0.493028876927698,4.63122075414926e-15,0.830203733022861,5.27765786406186e-58
"SCNN1B","brown",-0.538276961745888,3.75900682226746e-18,0.828723821766127,1.26136589956258e-57
"ARHGEF4","brown",-0.553806414276338,2.53094871802725e-19,0.8277371289684,2.24449257209164e-57
"KRT17","brown",-0.318171422507632,1.22672546193191e-06,0.82663729728822,4.24837279117137e-57
"KRT10","brown",-0.459950373134744,4.49615827285305e-13,0.826130211648486,5.69280160872699e-57
"ADIRF","brown",-0.50758709240093,5.2590575105149e-16,0.824821718881384,1.20617341634377e-56
"TNXA","brown",-0.536704767252732,4.90188298422944e-18,0.824226208096731,1.69401616278408e-56
"PTGS1","brown",-0.474971053587357,5.9836069472391e-14,0.823483028964062,2.58359033708332e-56
"GJA1","brown",-0.395151545791911,9.44366954265806e-10,0.822964229992572,3.46479026381194e-56
"ELMO3","brown",-0.508978805608884,4.24827628812629e-16,0.822205101525156,5.3140205807201e-56
"GRHL2","brown",-0.547528691927145,7.66120633846164e-19,0.822122559278875,5.56630008815271e-56
"CCL27","brown",-0.595565340764511,8.50464304543814e-23,0.821921810963388,6.23036060544805e-56
"HAL","brown",-0.368136870574888,1.45463961582439e-08,0.821634199160469,7.32034654230103e-56
"CXCL14","brown",-0.408269311372285,2.28319189790691e-10,0.821256448625232,9.04280013819713e-56
"CRCT1","brown",-0.419584523588603,6.3786104422958e-11,0.819657714864503,2.19946695268271e-55
"CDC50B","brown",-0.536993735495348,4.66893496284743e-18,0.81926369869762,2.73442101058883e-55
"HLA-DQB2","brown",-0.478370885247814,3.73853423405164e-14,0.819163811807695,2.88933284622992e-55
"FZD10","brown",-0.468617910153811,1.42120002980918e-13,0.818963843828234,3.2259979855112e-55
"ST14","brown",-0.35877122471746,3.54591770153925e-08,0.818011535295811,5.44264829222564e-55
"MYH11","brown",-0.628772846892381,6.07585711072854e-26,0.814956677072393,2.85478625936265e-54
"TMEM45A","brown",-0.43944067953925,6.04864051675746e-12,0.813692914643615,5.61622376281202e-54
"CD207","brown",-0.527930916642674,2.10304119924229e-17,0.813678493128689,5.65959040667417e-54
"CFD","brown",-0.522361003095015,5.1875588819256e-17,0.813656641734747,5.72593092081602e-54
"CLEC3B","brown",-0.491157023542066,6.08063027018362e-15,0.813400987102614,6.56160341859949e-54
"KRT6B","brown",-0.316983535279451,1.35057575384436e-06,0.813317475423915,6.85988149437632e-54
"KLK10","brown",-0.353206783121937,5.94036389629166e-08,0.812948519502059,8.34637021557473e-54
"LCE2B","brown",-0.444453024063936,3.25626039553531e-12,0.812304840604895,1.17395912214376e-53
"CKMT1B","brown",-0.424024106632521,3.81707252758353e-11,0.812283587854662,1.18723028709713e-53
