"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"POLR1E",-0.219486340895397,8.15198773736899,-1.92045622135074,0.0560623123053795,0.113367942020757,-5.10582562587793
"PCDHB1",0.29887771839629,6.08792119107245,1.91988349717779,0.0561350442691974,0.113497416998925,-5.10690200778377
"VCPKMT",-0.260686523640065,7.11565655679386,-1.91959024911324,0.0561723153291668,0.113555165825892,-5.10745302005417
"SNPH",0.395271536959863,6.07901012369848,1.91897623110202,0.0562504225968249,0.113695436403658,-5.10860649435793
"SOX18",-0.391477359183028,6.02156565834265,-1.9188679048614,0.0562642118734576,0.113705681744888,-5.10880995546587
"THUMPD2",-0.200645447122767,7.79706253036365,-1.91870749398972,0.0562846364131144,0.113729331193336,-5.10911122284393
"GUF1",0.225318960943921,7.00634148371213,1.91862302814694,0.0562953936424982,0.113733442470489,-5.10926984820177
"GET3",0.359787190262162,8.95607807582229,1.91819155628276,0.0563503710461379,0.113826876540758,-5.11008003931463
"FOXN2",0.248657111072252,7.0673023839941,1.91699425597462,0.056503164704837,0.114117212203959,-5.11232733214068
"CHRNA1",0.332765774910063,6.3870472408312,1.91692818345277,0.0565116066570262,0.114117212203959,-5.1124513085359
"SIGMAR1",0.239798081827571,8.92803301258916,1.9167420751607,0.0565353910172827,0.11413573523265,-5.11280049403733
"PMPCA",0.225024257097544,8.7637156045626,1.91671942529816,0.0565382862081207,0.11413573523265,-5.11284298858065
"NFKB1",-0.2296166775334,9.13324206056133,-1.91662875652638,0.0565498770764274,0.114141462414789,-5.11301309194611
"TRIM31",-0.252030199258895,5.28526749646079,-1.91646154580994,0.0565712580964749,0.114166945414013,-5.1133267749658
"SDK2",0.372960979727105,4.87338471196311,1.91557449728423,0.0566847971587753,0.114378376687291,-5.11499041239334
"PPP2R3B",-0.363104215735027,6.02537919665828,-1.9154664082151,0.0566986452150515,0.114388617508751,-5.11519307981122
"PCDHGA3",0.356373788736659,6.34115080898982,1.91391572712229,0.0568976261331708,0.114772299992329,-5.1180993945682
"HMCES",-0.176318445433308,8.31548949165446,-1.91350105360671,0.0569509353809971,0.114862064413429,-5.11887619723298
"ETV6",0.242814467600913,6.68740245719403,1.91276535080125,0.0570456181841095,0.115035232833684,-5.12025397915407
"HEXIM1",-0.228524378124479,7.93367893075129,-1.91251807524996,0.0570774714097569,0.115081668426136,-5.12071694746163
"CA3",-0.553155024367848,4.15337837399518,-1.91205935625026,0.0571366015301367,0.115171470318722,-5.12157564305885
