"Gene","Module","GS","MM.MEcyan","MM.MEsalmon","MM.MEblue","MM.MEbrown","MM.MEpink","MM.MEyellow","MM.MEmidnightblue","MM.MEblack","MM.MEgreen","MM.MEpurple","MM.MEgrey60","MM.MEturquoise","MM.MEred","MM.MEtan","MM.MEmagenta","MM.MEgreenyellow","MM.MElightcyan","MM.MEgrey"
"PARK7","yellow",0.355151673215192,-0.395986825305557,-0.620691528961809,-0.474941643891095,0.00775676831195227,-0.347979519451757,0.521144302154217,-0.0944129699925693,-0.293406516123971,0.104630797257047,-0.145108746963372,0.392496743254705,0.0606976927733417,0.395284932204788,0.643269038167423,0.323721168996402,0.591723918056948,0.583487332001076,-0.00660529678769704
"SRP14","yellow",0.14259408100618,-0.0471366091813298,-0.283756854657747,-0.191127512776138,-0.118381207579707,-0.117171215747685,0.526310831748118,-0.131006929219834,0.322790446201789,0.485482056930885,0.359158679667085,0.0603411679506665,-0.456447349713371,-0.0772397037797603,0.0543059021888039,0.476750007440333,0.34426003660548,0.271497508805927,0.0912353278716694
"GDI2","turquoise",-0.183117392443179,-0.349341990718151,0.0803511681875524,0.0370920186868847,0.0187352300174308,0.0125433347954902,-0.155019362019263,0.531327356061186,0.118388507815651,0.0493530722999117,0.117266745773899,0.325340144444957,0.465858451428804,-0.0140860550566661,0.0746730179385941,-0.232950005727445,-0.237401513759834,-0.0675220376147967,-0.403290062675418
"RPL11","magenta",-0.0940681729808841,0.127620408677461,0.0269750962936593,0.295326848430129,-0.0723311994438639,0.143103979149699,-0.0589831215898989,-0.063271601469223,0.144447514413784,0.092412641192155,0.248959070476033,-0.0493608021176291,-0.207559135966262,-0.324802912646887,-0.128162239911805,0.667508864699144,0.0525887290210663,0.22475731895033,0.00273274740934301
"ARF3","tan",0.0987905539246546,-0.328969028020857,-0.611904606769237,-0.288139125510561,-0.215581123209943,-0.43957553485303,0.289102954008067,-0.0293870062792039,-0.606482627940548,-0.160036266921804,-0.3055935786095,0.395422585619945,0.335840165737521,0.513726493418023,0.740066981371086,0.0950587804897528,0.569288462214811,0.571186851356955,-0.0738647036525342
"RPL21","magenta",-0.0815944946073754,0.135008268396882,-0.0175119762580243,0.299991502919224,-0.115987149083449,0.158613617312833,0.0780134227137365,-0.146113399975881,0.252455367141472,0.233616413492379,0.396920217949546,-0.191410286285309,-0.43795007684991,-0.414095085546682,-0.196886150772617,0.766397318008711,0.104351825807441,0.282168365513103,0.0106243943261595
"RPL24","magenta",-0.0191169612047491,0.0184724301237578,-0.00803951202951368,0.122469129020775,-0.185028562360304,0.0556576458357629,0.260128738171633,0.0194720194662401,0.453639030298994,0.476624947769113,0.528331180762403,-0.0082698974943695,-0.535678619392238,-0.405464880531025,-0.266301976233234,0.636570809727652,-0.000515446881787268,0.182097521481694,-0.0839317337001514
"HNRNPC","yellow",0.14153596866022,-0.326768162804183,-0.385443260822209,-0.643531288365764,-0.29873945207118,-0.556630794419607,0.637810570178683,0.500559058611478,0.223846215490043,0.583571186488364,0.170448869716187,0.373220262849606,-0.118525931052882,0.251723455820739,0.130551392178845,-0.212520414481953,0.0501044253954789,-0.0824598339236111,-0.339778605737932
"SEPTIN2","green",0.11768679222536,-0.177919185969179,-0.129895800854544,-0.3850752102753,-0.333894979058008,-0.265664946787525,0.605369740361804,0.317308837054469,0.553352096633659,0.774640570045053,0.473693329161159,0.0561134829985655,-0.40891705927862,-0.012787771614142,-0.168017190566423,0.00978939046449986,-0.015948271677639,-0.196113585773596,-0.217169216821449
"HNRNPA1","magenta",-0.00306101278407687,0.114952984219723,-0.084192197435681,0.0930928570797285,-0.0753606401744898,0.0845608686509419,0.304504967927248,-0.0585012192129407,0.47072544515599,0.465888295461828,0.524703185764887,-0.231789094711459,-0.611864140625681,-0.401794762303326,-0.28354102065908,0.67307874482176,0.0972322945769993,0.167111156637529,0.0126655492165424
