"Gene","Module","GS","MM.MEbrown","MM.MEpink","MM.MEblack","MM.MEgreenyellow","MM.MEpurple","MM.MEsalmon","MM.MEmagenta","MM.MEcyan","MM.MEred","MM.MEturquoise","MM.MEyellow","MM.MEgreen","MM.MEblue","MM.MEtan","MM.MEgrey"
"PRPF8","magenta",-0.246920899858492,-0.00483952253292288,-0.207212685428602,-0.273796801665341,-0.149742812022956,0.198512908619231,0.042095283000554,0.603396949099017,0.555035480826642,0.400445688154751,-0.602588191025166,-0.388185672715758,-0.0139720669012675,0.319816738141952,-0.0926227153709125,0.221242398846685
"CAPNS1","magenta",0.166765776942985,-0.30690691202661,-0.577173907811829,-0.224967079192381,0.118588123461385,0.648389482975463,0.336676444254488,0.713561132010427,0.0939275024231271,0.237366839818338,-0.171704601192584,-0.529329779069905,-0.130936367445327,0.155467708472364,0.108119336855985,0.518104415006208
"RPL35","yellow",-0.0482800913613943,0.0111313849393571,0.32057262128701,-0.0188464132888409,-0.267093479176152,-0.285425263195152,-0.0015689275228319,-0.34340152953626,-0.22004758688824,-0.302970274280513,0.225468907562726,0.464326834214517,-0.0278985033242438,-0.0453202081124341,0.0320556068574703,0.17200329226445
"RPL28","grey",0.0836919840311366,-0.251077988768042,-0.384308514591504,-0.262344698100026,-0.146805059754353,0.149519996957628,-0.138250494683074,0.514416099005785,0.279035934621845,0.139264439329825,-0.296746282634954,-0.369554954535967,0.284165554655254,0.235766224691837,0.195281177665943,0.25321629440022
"EIF4G2","red",-0.0791538933168882,0.342357667589639,0.029349995689891,0.238340961974739,0.158402498700649,-0.0964115621157044,-0.288594426662678,0.221315762011248,0.55322412309096,0.516995832775529,-0.359220064707503,-0.303699478794489,0.181318201767398,0.034258403300812,-0.221124625043654,-0.473526795766358
"EIF3D","red",-0.0958930071235897,0.313209350678005,-0.00537309206751898,0.276175487824534,0.370478897302111,0.210874837560154,0.0191393452601889,0.252271787021624,0.228777275028919,0.527091071199121,-0.292086341284233,-0.268176282864331,-0.248468868937861,-0.163711252479835,-0.339164413453168,-0.0709611135944622
"PARK7","black",0.276915363515443,0.559441529185766,0.463182024343697,0.62998918370992,0.46183190393438,0.209329493895091,0.231158404605616,-0.109490436229773,-0.129651714529297,0.282328436745875,-0.0807916574393555,0.240228241758867,-0.133929973988114,-0.656694199763783,-0.584509687380255,-0.0630486373704155
"SRP14","brown",0.136283270624752,0.444001222465212,0.428596963872162,0.174683427643758,-0.00590901616116577,0.0685702430318083,0.323123717581399,-0.0553562351916653,0.18881855519129,0.204326921960907,-0.257016616522047,0.147416787734004,-0.0195897776437634,-0.284939732336899,-0.377256378297827,-0.00419520870553891
"GDI2","red",-0.290069279643847,0.398292843096323,-0.0321152061588998,0.203798879771525,0.0149658794593331,-0.0651772496806313,-0.223992723722511,0.287706340004046,0.651198851687262,0.689912950997614,-0.475612364648647,-0.464100831941802,0.132907379942311,-0.0691449163232504,-0.331855818529934,-0.378070647921925
"RPL11","brown",-0.0259829229457336,0.368433087338529,0.265729088475322,0.0877649868003394,0.00468655102241416,-0.253714952033028,-0.12430409816739,-0.0517297910787791,0.303586763951654,0.285184935076658,-0.241789190621515,-0.0143777990298158,-0.0350771321302224,-0.116160153783584,-0.249798739468721,-0.219326234628132
"ARF3","magenta",0.0231228249925607,-0.232958563709768,-0.44541836347167,-0.222057614142339,0.161747049639876,0.607361089324353,0.225433915252528,0.6494590709388,0.176527188928065,0.250274272479465,-0.311494983973376,-0.434594592646051,-0.15146678614238,0.238412972049745,0.00630093182878922,0.41133552370352
"RPL21","brown",-0.0254793176720514,0.344256531878972,0.173876419928304,0.0939362856985366,-0.0666282321382493,-0.311671024644315,-0.202720920360763,-0.0461741608763135,0.417162045794288,0.344338213737787,-0.222687312701154,-0.113700828213171,0.132647095104358,-0.113689017716138,-0.221444787628654,-0.324437195778263
"RPL24","pink",0.00981949715351123,0.408020749702745,0.458585750460401,0.318343847975983,0.0338621174332883,-0.199716410848744,-0.0415437239874107,-0.263084895148979,0.050443265892551,0.0900462723527367,-0.0673703503211993,0.293606242397412,0.00976908095308379,-0.274057553801234,-0.341993272486967,-0.092436145254011
"HNRNPC","brown",0.0885085800894127,0.628945951573846,0.447921747882698,0.628550409806336,0.173057142590546,0.126488523522907,0.125451017143622,-0.0223113625880484,0.150981732297396,0.489944598555867,-0.273095614637696,0.0659509904411514,0.0592885059640849,-0.545132120675508,-0.575120269714735,-0.156318258847851
"SEPTIN2","brown",0.0305219198531459,0.698570938037089,0.395002435515881,0.576154283386673,0.510041068240333,0.103787129792499,0.0678462168930733,-0.0136846653431541,0.28284699468724,0.558671353034044,-0.354130910836051,-0.0573440818027187,-0.165064703363754,-0.432253668840498,-0.657119646046476,-0.428110769713858
"HNRNPA1","pink",0.0519703364700285,0.342339100304318,0.427004821841058,0.201094037885571,-0.0992071586692887,-0.0242489020445505,0.218647301601987,-0.159819786533288,0.0376898390008,0.132932656744933,-0.04961056563456,0.267977046212786,-0.174395456463214,-0.221673017011374,-0.231809341777265,0.0417751674925626
"RPS27A","grey",-0.0102197382025397,0.289187051032552,0.146475650189643,0.136397393971077,-0.0197793267908703,-0.314113136193207,-0.267655558821604,-0.0826612075991824,0.289584055771859,0.283450024362356,-0.125012454720125,-0.0831467383233042,0.158663169095316,-0.128598994545618,-0.124575964993398,-0.35970088140902
"RPS13","red",-0.0698632899703163,0.172552695156571,-0.112306381729678,0.0308022821785825,-0.00323866558682766,-0.00568089888895837,-0.122911889203654,0.276648584766304,0.40576871577188,0.427394623358097,-0.26829013850195,-0.358811095741042,0.087918850286238,0.0141960357958955,-0.124437722680265,-0.0421918406359102
"FAU","grey",-0.0114052047664833,-0.0140624330149677,0.198513976042029,-0.0328448895292986,-0.346376431885164,-0.350483959708634,-0.171242367079374,-0.1611936380946,-0.0133940572217848,-0.231908296413696,-0.00418820110778577,0.245499769415033,0.255273670999632,0.0693992912267963,0.071832857796643,0.13606654066592
