"Gene","Module","GS","MM.MEturquoise","MM.MEblack","MM.MEpink","MM.MEbrown","MM.MEyellow","MM.MEblue","MM.MEred","MM.MEgreen","MM.MEmagenta","MM.MEgrey"
"SARM1","yellow",0.296242339257806,-0.506287565919047,-0.536895362510766,-0.277465113579604,0.408440574001892,0.632533747714979,0.0483662971084602,0.272319178411955,0.407299594921165,0.108609767583094,-0.0106554029172985
"FOXC1","turquoise",-0.765533201580029,0.791540260236414,0.200739259797207,-0.0760250065744695,-0.765958039824454,-0.625523173202444,0.553044186619906,0.0157483803650345,0.0659514777904689,0.278904709386007,0.0999573146451187
"TRANK1","turquoise",-0.597631897997421,0.741188390220366,0.433900069294321,0.160395178086145,-0.686031765760376,-0.711562133199189,0.254836772947356,-0.238477016723055,-0.206933458847028,0.124390402667273,-0.0101189002082969
"SACS","yellow",0.512944711240743,-0.686010246962993,-0.628991507214883,-0.297758697641355,0.537074053609921,0.77715225041766,-0.242971253228079,0.0740627659818352,0.376954946553063,0.238614700176299,-0.322246385460512
"PGA5","turquoise",-0.362486435306403,0.35313052601738,0.0350777664510447,-0.0769983290231527,-0.345986055360026,-0.276762530772455,0.378374541428874,0.123582523311931,0.0625543066262729,0.0761659669833059,0.164170440731675
"DOP1A","turquoise",-0.556625033427211,0.549426691639848,-0.0125821685322857,-0.399423942245636,-0.616592610672287,-0.251804143937338,0.360965357124582,-0.156875001855898,0.343027947927532,0.591491317746648,-0.206926952408661
"CAMTA1","yellow",-0.000924453855053669,-0.308994294218863,-0.76686093638106,-0.719741186285395,0.0989792576810693,0.675863054881698,0.122096431833832,0.127458222445226,0.789366874813329,0.48561715587797,-0.262175890627186
"ZNF248","grey",-0.117780038295847,0.0430480063685389,-0.104686797230215,-0.148453794265023,-0.0680137140244587,0.0605917134529563,0.0632670411769395,0.0107540279402042,0.218708382045127,0.156778745086234,-0.0824922627253969
"LDAF1","brown",0.625136356916921,-0.561201592096367,-0.00293195674687047,-0.0928977574467755,0.616155059804839,0.459854636179358,-0.10739845169261,0.328937397774039,-0.0259070757970804,-0.473671920252521,0.450713277974538
"TENM4","turquoise",-0.452145348065066,0.503195354955575,0.196564904933723,0.031083990961603,-0.448495110218442,-0.470533982252455,0.211795286521905,-0.0813197276418158,-0.0977975700672328,0.0200494724001356,0.109962540057002
"DHRS1","turquoise",-0.504924811399209,0.68060801084565,0.403250589032763,0.203533970233805,-0.54739080281508,-0.678007878100606,0.317211299265711,0.0130946906833357,-0.246891434457118,-0.0747157994917589,0.24414087853926
"RAP1GAP2","turquoise",-0.81655594971303,0.942446252409418,0.413558072440151,0.0153518287125981,-0.877910251583945,-0.799102607106448,0.500704713055846,-0.0883242876307809,-0.0690086522331321,0.220459799973803,0.107361117482591
"APOOL","grey",-0.233060102445596,0.234798731989851,-0.0609033480085518,0.250538070529179,-0.21485431798731,-0.279772800363504,-0.0118247964068582,-0.224530334135351,-0.203970540328854,0.0860529837497039,-0.184616682452732
"SALL2","turquoise",-0.307610633987502,0.40999832012792,0.122531490501292,-0.000800955500279239,-0.353462117335307,-0.307003334950694,0.41718921384808,0.213045217008501,0.0245647742654622,-0.0747022281516663,0.339568666293923
"CDC50B","turquoise",-0.77679406710452,0.794820865228501,0.056080936692351,-0.15941909658681,-0.806191669162928,-0.565918631077193,0.462616456581115,-0.129594267697826,0.137839202715332,0.367313206078828,-0.0676230478954408
"MBOAT2","blue",-0.572531616406834,0.545139323035326,-0.0945552105420685,-0.313821624067693,-0.524557135954911,-0.251827393452569,0.687865828877293,0.250616143013984,0.309189923807476,0.298916472501251,0.273061249038412
"SNX13","turquoise",-0.412878189256094,0.46835366525882,0.310354843590275,0.0847442197040324,-0.425845471183127,-0.423175993851793,0.456497840477835,0.206539685525754,-0.0727986590090064,0.120465036775639,0.210213756473632
"TRIM22","turquoise",-0.331004205827057,0.537850026532584,0.604285237913089,0.395477448965394,-0.44377696975458,-0.677082096752674,-0.0996332463986462,-0.382685090062445,-0.45771685162457,-0.0112874291636528,-0.1327750998884
"CYLD","turquoise",-0.518107776202388,0.531129552204007,0.182230681877433,-0.394960939039099,-0.620283221932343,-0.250797317674305,0.338898035295239,-0.0604977161888403,0.332770147073326,0.589101156736496,-0.19124991730304
"RMND5B","blue",-0.19491638962252,0.197344787000421,-0.0370398597831624,-0.249691784527319,-0.152444927409857,-0.0240740138853636,0.548730803557812,0.490123469713915,0.232121650849426,-0.111116512934377,0.538678202381382
"ZBTB7A","blue",-0.206360373610637,0.180695866822695,-0.152134917124439,-0.545681016156392,-0.200756979385093,0.12694740944526,0.546858859221052,0.423784610569556,0.46996504368023,0.222830462041119,0.332239790648227
"ATG2A","blue",-0.330494754091494,0.204832217015862,-0.211229160350436,-0.515744122298282,-0.272329832664072,0.0926817096681288,0.551203696818256,0.334579433140848,0.467888939029511,0.239533888369145,0.269518325247921
"PFAS","yellow",0.2454985823317,-0.411403170076157,-0.271318500701603,-0.0118233329080408,0.327606281494929,0.404348976529223,0.098915044825041,0.432239991181234,0.207018700018869,-0.0139159073394814,0.116978925013015
"TOGARAM1","grey",-0.0744957388187345,0.0880965080739674,-0.0387133012269461,0.093692827558351,-0.129687556513167,-0.0882752146684636,-0.355117573836615,-0.605568233306331,-0.095946068585098,0.50792543069775,-0.710799859525492
"SHANK2","turquoise",-0.811715148334124,0.754280859221247,-0.00583786316096038,-0.277632574175734,-0.79034480425437,-0.448987405087958,0.719298841331067,0.166395575218917,0.30788223415665,0.416927258538677,0.0945200591248656
"PLCL2","turquoise",-0.593721000747364,0.725804439718065,0.403452568397221,0.110046547920972,-0.656962284269997,-0.669899445039408,0.367339673229754,-0.0823462023550271,-0.170507641902706,0.183677322477649,0.0701609277323717
"AGO2","turquoise",-0.378305213633487,0.467513728895309,0.0691130014560083,0.0876835484007271,-0.4290612567047,-0.443116770198747,0.216451404911878,-0.148158663549237,-0.105400300986589,0.168581693307865,-0.0655591998702483
"TCF25","yellow",0.589306843641414,-0.737332716359771,-0.476218406796684,-0.296726750780761,0.669282414014345,0.772837942035923,-0.242304952103266,0.181245504288903,0.325059446237034,-0.170048156815661,0.0504229149071734
"SMIM8","turquoise",-0.427031965782175,0.461046209614393,0.0961855921328438,-0.0351794135648271,-0.414215717167695,-0.377351165887975,0.51245317890617,0.236329652471016,0.0142908458944952,0.0181882912490799,0.34270808001972
"GPR21","turquoise",-0.808643715081843,0.698507279061582,-0.234606130301042,-0.418092565952767,-0.814417633739317,-0.336990097689284,0.597330204364293,-0.014777495368482,0.458641061443678,0.708430592010151,-0.207463464470713
"EOLA1","brown",0.700362501723569,-0.560919627303165,0.28174495361807,0.466809143738415,0.694590969425071,0.206920969986189,-0.39810547041569,0.142171640641299,-0.46821087629688,-0.732313508397729,0.358694819954874
"JCAD","turquoise",-0.741765361821725,0.703660161114842,0.0327903848703794,-0.280580194363843,-0.749446628241165,-0.435711304015131,0.707804268485116,0.281650708049915,0.30087814214903,0.306413667629591,0.202971129575865
"CLIC5","blue",-0.387412177043219,0.308528963740069,-0.110727531815892,-0.392921667755331,-0.322128737579334,-0.0232139565744474,0.558506269438686,0.330829824076323,0.36717940678946,0.109736162806681,0.337662801734944
"PRMT3","turquoise",-0.405972530980201,0.385039951543789,0.024266051915225,-0.032411643262111,-0.407228648238157,-0.294534933212942,0.196236133915864,-0.147635174592022,0.000297415642349138,0.328943628592252,-0.16709990405421
"OARD1","turquoise",-0.403852586504577,0.373407752310474,0.0843432583851197,0.364947755229786,-0.387894974374548,-0.488691518428951,0.0268863668781738,-0.274029259368156,-0.276889692571812,0.13118145995605,-0.25938611646036
"SRC","brown",0.837259038631974,-0.818061729549437,-0.119238804306795,0.0549489080195501,0.866614325510609,0.62152508087534,-0.376920369251022,0.242747095576684,-0.0862379814579892,-0.493111433324456,0.245333041843265
"NECTIN3","turquoise",-0.255489259201246,0.341795532357863,0.211557497600445,-0.0760085913774932,-0.307067707138372,-0.26364741017302,0.388551243277172,0.325161382553146,0.0593941700075314,-0.0739708620977585,0.401387710035353
"USP12","yellow",0.248026751712667,-0.325241339531569,-0.282759147069672,-0.210534695932534,0.306003011031497,0.385240177524168,-0.00831189578096341,0.21177836924863,0.220691744878682,-0.0807965833513459,0.127182549284666
"SRGAP2","grey",0.0603887951396641,-0.0338575444272735,0.0671482504344221,0.0744774536481234,0.0454104647461713,-0.0425649248725412,-0.188518336539177,-0.138551779126548,-0.100379642756224,0.0263752217840957,-0.137893099060996
"TMEM158","yellow",0.633828257345842,-0.705350639999973,-0.256724706817091,-0.143819149838349,0.6437309746737,0.678961647997831,-0.306970955609226,0.237107685449743,0.204086085853757,-0.171464604037269,0.0216678131345956
"GFOD3P","turquoise",-0.519704503468201,0.523492235013009,0.153806091690752,-0.120986128627006,-0.491390949580154,-0.343922587133917,0.647573498622422,0.352715619555145,0.174968055147377,0.1563689035589,0.349061338858947
"FEM1C","grey",-0.170784635010967,0.232344108836924,0.0659866948681998,0.117982195929687,-0.241506512386237,-0.280653238867972,-0.246561133771728,-0.548444633085332,-0.199705816427484,0.381246694762652,-0.553983161472277
"YAP1","grey",-0.22845899309506,0.252571491686441,0.0372872308600076,0.404718144018399,-0.207262668053333,-0.361896023668025,-0.100808237573277,-0.283657054381486,-0.304932003415463,0.0247503451473085,-0.226126084084849
"GDPD5","blue",-0.418660442195921,0.238940914262945,-0.357698684161511,-0.371384047964691,-0.323802011202246,0.0236676409956414,0.50197508260307,0.186382511953141,0.436591051879955,0.339626837889043,0.0369862443236316
"TEX30","grey",-0.186648712590181,0.0822480095785958,-0.190247527630724,0.0320933299210001,-0.110365819893891,-0.0345815337477068,0.214622903666345,0.128889742610785,0.0837655187772261,0.113445064694996,0.0257145989625913
"TMCC1","yellow",0.057838518529008,-0.0840914466369464,-0.257329454079608,-0.620568399036763,0.0534689657767894,0.359745379307033,0.343795131622422,0.355477846985934,0.492121695702124,0.111462372278077,0.319100523998406
"ABCA5","turquoise",-0.618169677359092,0.597276157882107,-0.0703283547009131,-0.296125898687899,-0.647313882457934,-0.319868380825148,0.272022615895108,-0.327156556003124,0.265833779091334,0.732786340585654,-0.449182796773211
"GTF2H5","grey",0.0768892078688648,-0.174004761716665,-0.189371050877272,0.0536091576233622,0.119617305574894,0.196994408751638,-0.224197021918481,-0.143959044637633,0.0700480574758364,0.0876410247935176,-0.277114194271026
"MTCL1","blue",-0.165361978596248,0.191811109107419,-0.149564589706207,-0.465855484825814,-0.240777615448827,0.0962322895906218,0.586185666118802,0.458549580356895,0.428635700065772,0.191068664889678,0.329097552619185
"TDRD7","yellow",0.589326829886383,-0.729162486429079,-0.417059162240239,-0.143417200995429,0.632950301028628,0.754640651792742,-0.163228026676533,0.321426187920222,0.301867749638757,-0.101822407575983,0.0158158478232729
"CA5BP1","grey",0.0777072899363685,-0.0114861509169484,0.181034154262177,0.24743141915941,0.0890094981155952,-0.11687485983668,0.0456226711598992,0.126659194466414,-0.260512484731247,-0.292189553189163,0.280164526268381
"ERI2","turquoise",-0.50910380429028,0.44352631612753,-0.0875312825031722,-0.194408231167054,-0.510931645520466,-0.203912758678047,0.256083260278665,-0.185102012802164,0.238117421643165,0.513561763875627,-0.290777806549688
"LOC155060","green",0.0668023682053538,-0.282603319847437,-0.433943160918088,-0.644588971025702,0.105424101121278,0.607734620305841,0.356450493955323,0.47643979737688,0.733842473977917,0.371473739008852,0.0687683210901164
"PPFIA3","blue",-0.423474113685412,0.247828369739413,-0.339491689024776,-0.415463357534059,-0.316597837947193,-0.00317834148509584,0.477026918441083,0.149301406421886,0.397981016489514,0.324847974051532,0.0596099398731704
"CDHR1","turquoise",-0.7739561887631,0.852248359873249,0.14599880214426,-0.192837620980792,-0.812035546922827,-0.609931993893598,0.554088138587352,-0.0237025674627286,0.126622594004899,0.33399031095796,0.0823030813712241
"SFMBT1","blue",-0.267145111017192,0.203882629962356,-0.236523861694018,-0.567189375731319,-0.250134972300398,0.172722304022785,0.624895133956944,0.452857666802815,0.571278776009044,0.338220425998936,0.267025146128572
"LDB3","turquoise",-0.404483037803021,0.450004723659245,0.154864447973764,-0.0276753315764292,-0.420180302627087,-0.364635213227872,0.480722817617695,0.164326384222393,0.0352087577173083,0.148281709989423,0.206573358626734
"PAQR3","turquoise",-0.445770682060002,0.411115005573453,0.00326390849866633,-0.0600506100924553,-0.441642294125077,-0.302414438384686,0.0299611031370937,-0.381532706734527,0.0264581356920869,0.451766259091131,-0.396314378221718
